Course,Instructor
ACCT 1A,Sandra Li
ACCT 1A,Mia Breen
ACCT 1A,Catherina Wong
ACCT 1A,Richard Claire
ACCT 1A,Scott Osborne
ACCT 1AH,Mia Breen
ACCT 1B,Michael Riordan
ACCT 1B,Catherina Wong
ACCT 1B,Sandra Li
ACCT 1BH,Catherina Wong
ACCT 1C,Lih Hung
ACCT 1C,Lakshmamma Venkata
ACCT 1C,Scott Osborne
ACCT 1C,Lydia Botsford
ACCT 51A,Kevin Mello
ACCT 58,John Lord
ACCT 64,Lauri Hammond
ACCT 67,Lydia Botsford
ACCT 68,Lydia Botsford
ACCT 74,Alexis James
ACCT 87AI,Lauri Hammond
ACCT 88,Lauri Hammond
ADMJ 3,James Suits
ADMJ 6,Ramona Gabriel
ADMJ 11,Kevin Lee
ADMJ 29,Meghan Kensler
ADMJ 51,Ramona Gabriel
ADMJ 54,DuJuan Green
ADMJ 73,James Suits
ADMJ 75,Griffin Bonini
ADMJ 95,"BERNARDO, SHERYL"
AFAM 10,Julie Keiffer-Lewis
AFAM 10,Shanita Ealey
AFAM 12A,Julie Keiffer-Lewis
ANTH 1,"FELDMAN, AMANDA"
ANTH 1,Elisabeth-Anne Mabie
ANTH 1,Ameeta Tiwana
ANTH 1,Emily Beggs
ANTH 1,Leslie Berry
ANTH 1,Julie Hui
ANTH 1L,Elisabeth-Anne Mabie
ANTH 1L,Ameeta Tiwana
ANTH 2,Alicia Hedges
ANTH 2,Mayra Cerda Aguilar
ANTH 2,Angel Roque
ANTH 4,Nancy Olsen
ANTH 5,Daniel Solomon
ANTH 6,Ashidhara Das
ANTH 7,Elisabeth-Anne Mabie
ARTS 1A,Elizabeth Mjelde
ARTS 1A,Yael Karmi
ARTS 1A,Deborah Pasturel
ARTS 2A,Deborah Pasturel
ARTS 2B,Linda Becerril
ARTS 2C,Elizabeth Mjelde
ARTS 2D,Linda Becerril
ARTS 2F,Catie Cadge-Moore
ARTS 2G,So Kam Lee
ARTS 2J,Catie Cadge-Moore
ARTS 3TC,Natasha Kleit
ARTS 4A,Masako Miki
ARTS 4A,Meiru Huang
ARTS 4B,Meiru Huang
ARTS 8,Eugene Rodriguez
ARTS 12,Eugene Rodriguez
ARTS 53,Marco Marquez
ARTS 55A,Marco Marquez
ARTS 56,Marco Marquez
ASAM 1,Mae Lee
ASAM 11,Mae Lee
ASAM 20,Francesca Caparas
ASAM 40,So Kam Lee
ASAM 41,Young Jung
ASTR 4,Rachel Mastrapa
ASTR 4,Srikar Srinath
